amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,sharpe_ratio,alpha,return_rank,sharpe_rank,alpha_rank,expense_rank,max_drawdown,drawdown_rank,fund_score
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,1.36,1.180101197660648,0.29263583341750954,8.0,5.0,3.0,15.0,-0.18188513572116294,25.0,100.0
120843,Kotak Flexicap Fund - Regular - Growth,15.65,1.45,1.3067439695428413,0.2733046503830598,11.0,2.0,5.0,22.0,-0.1297396816518679,13.0,98.14385150812065
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,1.38,1.0936987435346321,0.271953545012853,10.0,7.0,6.0,17.0,-0.16217208574644848,20.0,93.03944315545243
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,1.43,0.945308257515609,0.30336965386983256,1.0,14.0,1.0,21.0,-0.2870600572176455,36.0,91.87935034802784
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.46,1.4482911703262527,0.26983751441917886,17.0,1.0,7.0,23.0,-0.11265729075028275,8.0,90.71925754060325
149324,DSP Small Cap Fund - Regular - Growth,20.08,1.52,0.949795824661601,0.3005787817097667,6.0,13.0,2.0,26.5,-0.31171900300634214,37.0,80.8584686774942
149323,DSP Midcap Fund - Regular - Growth,17.16,1.61,1.1321218524747212,0.26598577542042906,9.0,6.0,8.0,38.0,-0.17248105753451382,22.0,78.19025522041764
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,0.8,1.0265242847992984,0.21194827013525636,20.0,10.0,13.0,12.0,-0.12588275606922517,12.0,76.33410672853829
119094,Axis Midcap Fund - Regular - Growth,15.18,1.38,0.99823098686364,0.26076669080042136,15.0,11.0,9.0,17.0,-0.20960883862039192,28.0,74.94199535962876
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,1.6,1.2349300257743312,0.2827036785246577,23.0,3.0,4.0,36.5,-0.1639674294693263,21.0,67.40139211136892
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.51,1.0816591793457038,0.2182939790460857,21.0,8.0,11.0,24.5,-0.17414075086657232,23.0,65.31322505800463
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,1.54,1.2082665673727144,0.2320100716063496,26.0,4.0,10.0,30.5,-0.1501238549864533,17.0,62.52900232018562
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,1.6,1.0272133278753697,0.2139978477605115,22.0,9.0,12.0,36.5,-0.11291596329323073,9.0,59.97679814385151
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.66,0.953279496866009,0.19868599366862885,34.0,12.0,15.0,4.0,-0.11803493502764295,11.0,58.700696055684446
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,1.52,0.9262873467360142,0.20873010086942273,19.0,15.0,14.0,26.5,-0.1527259422823477,19.0,57.656612529002324
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.92,0.7757902498211184,0.17729754927531685,24.0,18.0,16.0,14.0,-0.15200013055606398,18.0,54.524361948955914
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,1.53,0.44843400890898943,0.17500721675611194,5.0,26.0,18.0,28.5,-0.2334488614483311,32.0,53.24825986078886
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,1.41,0.6488787755249534,0.16253853279981,18.0,20.0,20.0,19.0,-0.1982565826298267,27.0,49.18793503480279
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.78,0.3006119210425452,0.11989100971217899,14.0,27.0,26.0,10.0,-0.21117279560132118,29.0,46.40371229698378
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,0.72,-0.05718662582818199,0.0488242159455394,2.0,32.0,36.0,5.5,-0.5257422117012851,40.0,46.05568445475639
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.72,0.6452074382933201,0.1564383594816961,27.0,21.0,22.0,5.5,-0.18629743138595511,26.0,43.503480278422266
101207,ABSL Small Cap Fund - Regular - Growth,22.38,1.53,0.1626607692864675,0.10897091901704521,3.0,28.0,27.0,28.5,-0.3544691649336603,38.0,42.5754060324826
118635,Nippon India ETF Nifty 50 BeES,11.77,0.89,0.6648569985490603,0.15136354648239184,32.0,19.0,23.0,13.0,-0.1165062450540909,10.0,40.139211136890964
120503,ICICI Pru Bluechip Fund - Regular - Growth,11.54,1.42,0.7979728586052822,0.1770330236584399,33.0,17.0,17.0,20.0,-0.13897862823061635,14.0,39.907192575406036
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,1.64,0.6195175900829826,0.16211256794033213,13.0,22.0,21.0,39.5,-0.21539827112383225,30.0,37.23897911832946
102885,UTI Nifty 50 Index Fund - Regular - Growth,12.1,1.57,0.8170993373494353,0.1704875680341263,30.0,16.0,19.0,34.0,-0.1085986215250232,7.0,36.8909512761021
119095,Axis Small Cap Fund - Regular - Growth,20.98,1.38,-0.07597357117478937,0.04801595363775957,4.0,33.0,37.0,17.0,-0.5167775370852656,39.0,33.64269141531321
120507,ICICI Pru Liquid Fund - Regular - Growth,7.68,0.74,0.49572339295190765,0.06746210411098824,35.0,23.0,31.0,7.0,-0.0009773140045925555,1.0,32.25058004640371
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,1.56,0.07599984804658415,0.07804438876154987,7.0,30.0,29.0,33.0,-0.24003511326274884,33.0,32.01856148491878
