amfi_code,sharpe_ratio
148567,1.4482911703262527
120843,1.3067439695428413
148569,1.2349300257743312
119551,1.2082665673727144
120505,1.180101197660648
149323,1.1321218524747212
100033,1.0936987435346321
118632,1.0816591793457038
101206,1.0272133278753697
120504,1.0265242847992984
119094,0.99823098686364
119552,0.953279496866009
149324,0.949795824661601
119598,0.945308257515609
148568,0.9262873467360142
102885,0.8170993373494353
120503,0.7979728586052822
125497,0.7757902498211184
118635,0.6648569985490603
120506,0.6488787755249534
118633,0.6452074382933201
102887,0.6195175900829826
120507,0.49572339295190765
120841,0.4942725378672308
149322,0.46403744922047474
118634,0.44843400890898943
125498,0.3006119210425452
101207,0.1626607692864675
119093,0.12961449795668886
120842,0.07599984804658415
119092,0.030784850954583803
119599,-0.05718662582818199
119095,-0.07597357117478937
120844,-0.08874729621698339
100016,-0.20151706755967008
102886,-0.20583160785470483
119120,-0.22657538662794577
118636,-0.3566295075144002
100025,-0.5670947928477084
101208,-0.8155673679101648
